movieid,actorid,character_name,creditorder,pay,screentime
16,130,Carlotta,9,,0
17,131,Marty McFly,1,,0
17,132,Doctor Emmett Brown,2,,0
17,133,Lorraine,3,,0
17,134,Biff Tannen,4,,0
17,135,Jennifer,5,,0
17,136,Strickland,6,,0
17,137,George McFly,7,,0
17,138,3-D,8,,0
17,139,Match,9,,0
18,140,Indiana Jones,1,,0
18,141,Professor Henry Jones,2,,0
18,142,Marcus Brody,3,,0
18,143,Elsa,4,,0
18,144,Sallah,5,,0
18,145,Walter Donovan,6,,0
18,146,Young Indy,7,,0
18,147,Vogel,8,,0
18,148,Kazim,9,,0
20,149,M'Lynn Eatenton,1,,0
20,150,Truvy Jones,2,,0
20,151,Ouiser Boudreaux,3,,0
20,152,Annelle Dupuy Desoto,4,,0
20,3,Clairee Belcher,5,,0
20,153,Shelby Eatenton Latcherie,6,,0
20,154,Drum Eatenton,7,,0
20,155,Spud Jones,8,,0
20,156,Jackson Latcherie,9,,0
22,157,April O'Neil,1,,0
22,158,Casey Jones,2,,0
22,159,Raphael (voice),3,,0
22,160,Leonardo,4,,0
22,161,Leonardo,5,,0
22,162,Donatello,6,,0
22,163,Donatello,7,,0
22,164,Michaelangelo,8,,0
22,165,Michaelangelo,9,,0
23,166,Edward Lewis,1,,0
23,153,Vivian Ward,2,,0
23,167,James Morse,3,,0
23,168,Philip Stuckey,4,,0
23,169,Kit De Luca,5,,0
23,170,David Morse,6,,0
23,171,Elizabeth Stuckey,7,,0
23,172,Bridget,8,,0
23,173,Barney Thompson,9,,0
24,174,Kimble,1,,0
24,175,Joyce,2,,0
24,176,Phoebe,3,,0
24,177,Miss Schlowski,4,,0
24,178,Crisp,5,,0
24,179,Eleanor Crisp,6,,0
24,180,Dominic,7,,0
24,181,Dominic,8,,0
24,182,Sylvester's Mother,9,,0
25,39,Kevin,1,,0
25,73,Harry,2,,0
25,183,Marv,3,,0
25,184,Peter,4,,0
25,185,Marley,5,,0
25,186,Kate,6,,0
25,187,Linnie,7,,0
25,188,Buzz,8,,0
25,189,Uncle Frank,9,,0
26,71,Rick Jarmin,1,,0
26,190,Marianne Graves,2,,0
26,191,Eugene Sorenson,3,,0
26,192,Albert Diggs,4,,0
26,193,Joe Weyburn,5,,0
26,194,Rachel Varney,6,,0
26,195,Marvin,7,,0
26,196,Lou Baird,8,,0
26,197,Raun,9,,0
27,198,Paul Sheldon,1,,0
27,199,Annie Wilkes,2,,0
27,200,Buster,3,,0
27,201,Virginia,4,,0
27,202,Marcia Sindell,5,,0
27,203,Libby,6,,0
27,204,Pete,7,,0
27,205,Anchorman (as Tom Brunelle),8,,0
27,206,Anchorwoman,9,,0
28,207,Edward Scissorhands,1,,0
28,208,Kim,2,,0
28,64,Peg,3,,0
28,209,Jim,4,,0
28,210,Joyce,5,,0
28,104,Kevin,6,,0
28,211,Helen,7,,0
28,212,Marge,8,,0
28,213,Officer Allen,9,,0
29,214,Sam Wheat,1,,0
29,215,Molly Jensen,2,,0
29,216,Carl Bruner,3,,0
29,217,Elevator Man,4,,0
29,218,Elevator Man,5,,0
29,219,Susan,6,,0
29,220,Rose (as Martina Degnan),7,,0
29,221,Mover (as Richard Kleber),8,,0
29,222,Mover,9,,0
30,140,Rusty Sabich,1,,0
30,223,Raymond Horgan,2,,0
30,224,Sandy Stern,3,,0
30,225,Barbara Sabich,4,,0
30,226,Judge Larren Lyttle,5,,0
30,227,Carolyn Polhemus,6,,0
30,228,Detective Dan Lipranzer,7,,0
30,229,Tommy Molto,8,,0
30,230,Nico Della Guardia,9,,0
31,28,Lieutenant Dunbar,1,,0
31,231,Stands With A Fist,2,,0
31,232,Kicking Bird,3,,0
31,233,Wind In His Hair,4,,0
31,234,Ten Bears,5,,0
31,235,Black Shawl,6,,0
31,236,Timmons,7,,0
31,237,Lieutenant Elgin,8,,0
31,238,Major Fambrough,9,,0
32,239,Nelson Wright,1,,0
32,153,Dr. Rachel Mannus,2,,0
32,240,David Labraccio,3,,0
32,241,Joe Hurley,4,,0
32,242,Randy Steckle,5,,0
32,243,Winnie Hicks,6,,0
32,244,Billy Mahoney,7,,0
32,245,Rachel's Father,8,,0
32,246,Young Nelson,9,,0
33,141,Marko Ramius,1,,0
33,247,Jack Ryan,2,,0
33,248,Bart Mancuso,3,,0
33,249,Captain Borodin,4,,0
33,33,Admiral Greer,5,,0
33,74,Andrei Lysenko,6,,0
33,250,Jeffrey Pelt,7,,0
33,251,Ivan Putin,8,,0
33,252,Dr. Petrov,9,,0
34,253,Reggie Hammond,1,,0
34,254,Jack Cates,2,,0
34,255,Ben Kehoe,3,,0
34,256,Blake Wilson,4,,0
34,257,Frank Cruise,5,,0
34,258,Willie Hickok,6,,0
34,259,Richard 'Cherry' Ganz,7,,0
34,260,Kirkland Smith,8,,0
34,261,Tyrone Burroughs,9,,0
35,131,Marty McFly,1,5000000,0
35,132,Dr. Emmett Brown,2,,0
35,63,Clara Clayton,3,,0
35,134,Buford 'Mad Dog' Tannen,4,,0
35,133,Maggie McFly,5,,0
35,135,Jennifer Parker,6,,0
35,262,Chester the Bartender,7,,0
35,263,Barbwire Salesman,8,,0
35,264,"Jeb, Saloon Old-Timer #3",9,,0
36,265,Dick Tracy,1,,0
36,266,Kid,2,,0
36,267,McGillicuddy,3,,0
36,268,Stooge,4,,0
36,269,Shoulders,5,,0
36,270,The Rodent,6,,0
36,271,The Brow,7,,0
36,272,Little Face,8,,0
36,273,Flattop,9,,0
37,274,Don Michael Corleone,1,,0
37,275,Kay Adams Michelson,2,,0
37,276,Connie Corleone Rizzi,3,,0
37,277,Vincent Mancini,4,,0
37,278,Don Altobello,5,,0
37,279,Joey Zasa,6,,0
37,280,B.J. Harrison,7,,0
37,281,Grace Hamilton,8,,0
37,282,Mary Corleone,9,,0
38,19,Cole Trickle,1,,0
38,283,Dr. Claire Lewicki,2,,0
38,284,Harry Hogge,3,,0
38,97,Tim Daland,4,,0
38,285,Russ Wheeler,5,,0
38,286,Rowdy Burns,6,,0
38,287,Big John,7,,0
38,288,Buck Bretherton,8,,0
38,289,Waddell,9,,0
39,174,Quaid,1,,0
39,290,Melina,2,,0
39,291,Lori,3,,0
39,292,Cohaagen,4,,0
39,293,Richter,5,,0
39,294,George,6,,0
39,295,Benny,7,,0
39,296,Helm,8,,0
39,297,Dr. Edgemar,9,,0
40,6,John McClane,1,,0
40,225,Holly McClane,2,,0
40,298,Thornberg,3,,0
40,299,Al Powell,4,,0
40,300,Esperanza,5,,0
40,301,Stuart,6,,0
40,302,Grant,7,,0
40,303,Carmine Lorenzo,8,,0
40,304,Barnes,9,,0
41,199,Evelyn Couch,1,,0
41,305,Idgie Threadgoode,2,,0
41,306,Ruth Jamison,3,,0
41,11,Ninny Threadgoode,4,,0
41,307,Sipsey,5,,0
41,308,Buddy Threadgoode,6,,0
41,309,Big George,7,,0
41,310,Ed Couch,8,,0
41,311,Smokey Lonesome,9,,0
42,312,Clarice Starling,1,,0
42,313,FBI Instructor,2,,0
42,314,Ardelia Mapp,3,,0
42,315,Agent Burroughs,4,,0
42,248,Jack Crawford,5,,0
42,316,Dr. Frederick Chilton,6,,0
42,317,Barney,7,,0
42,318,Friendly Psychopath,8,,0
42,319,Brooding Psychopath,9,,0
43,153,Laura Burney,1,,0
43,320,Martin Burney,2,,0
43,321,Ben Woodward,3,,0
43,322,Chloe Williams,4,,0
43,323,Fleishman,5,,0
43,324,Dr. Rissner,6,,0
43,325,Locke,7,,0
43,326,Julie,8,,0
43,327,Garber,9,,0
44,62,George Banks,1,,0
44,275,Nina Banks,2,,0
44,328,Annie Banks,3,,0
44,329,Matty Banks,4,,0
44,330,Bryan MacKenzie,5,,0
44,331,Franck Eggelhoffer,6,,0
44,332,Howard Weinstein,7,,0
44,333,John MacKenzie,8,,0
44,334,Joanna MacKenzie,9,,0
47,335,Beast,1,,0
47,336,Lefou,2,,0
47,337,Maurice,3,,0
47,338,Mrs. Potts,4,,0
47,339,Belle,5,,0
47,340,Lumiere,6,,0
47,341,Chip,7,,0
47,342,Cogsworth,8,,0
47,343,Gaston,9,,0
48,344,Topper Harley,1,,0
48,285,Kent Gregory,2,,0
48,345,Ramada Thompson,3,,0
48,346,Admiral Benson,4,,0
48,347,Lt. Commander Block,5,,0
48,348,Jim 'Wash Out' Pfaffenbach,6,,0
48,349,Pete 'Dead Meat' Thompson,7,,0
48,350,Kowalski,8,,0
48,351,Wilson,9,,0
49,44,Mitch Robbins,1,,0
49,183,Phil Berquist,2,,0
49,47,Ed Furillo,3,,0
49,352,Barbara Robbins,4,,0
49,353,Bonnie Rayburn,5,,0
49,113,Curly,6,,0
49,354,Clay Stone,7,,0
49,355,Cookie,8,,0
49,356,Barry Shalowitz,9,,0
50,357,Kirk,1,,0
50,358,Spock,2,,0
50,359,McCoy,3,,0
50,360,Scotty,4,,0
50,361,Chekov,5,,0
50,362,Uhura,6,,0
50,363,Sulu,7,,0
50,364,Lt. Valeris,8,,0
50,365,Sarek,9,,0
51,366,Morticia Addams,1,,0
51,224,Gomez Addams,2,,0
51,132,Uncle Fester Addams,3,,0
51,367,Tully Alford,4,,0
51,368,Abigail Craven,5,,0
51,369,Granny,6,,0
51,370,Lurch,7,,0
51,371,Margaret Alford,8,,0
51,372,Judge Womack,9,,0
52,254,Tom Wingo,1,,0
52,373,Susan Lowenstein,2,,0
52,374,Sally Wingo,3,,0
52,375,Lila Wingo Newbury,4,,0
52,376,Herbert Woodruff,5,,0
52,377,Savannah Wingo,6,,0
52,378,Eddie Detreville,7,,0
52,379,Bernard Woodruff,8,,0
52,380,Henry Wingo,9,,0
53,115,Bob Wiley,1,,0
53,381,Dr. Leo Marvin,2,,0
53,382,Fay Marvin,3,,0
53,266,Siggy Marvin,4,,0
53,383,Anna Marvin,5,,0
53,384,Mr. Guttman,6,,0
53,385,Mrs. Guttman,7,,0
53,386,Phil,8,,0
53,387,Lily,9,,0
54,388,Max Cady,1,,0
54,254,Sam Bowden,2,,0
54,389,Leigh Bowden,3,,0
54,91,Danielle Bowden,4,,0
54,390,Claude Kersek,5,,0
54,391,Lieutenant Elgart,6,,0
54,392,Lee Heller,7,,0
54,393,Judge,8,,0
54,394,Lori Davis,9,,0
55,395,Rose Cheramie,1,,0
55,396,Epileptic,2,,0
55,397,Zapruder,3,,0
55,398,John F. Kennedy - Double,4,,0
55,399,Jackie Kennedy - Double,5,,0
55,400,Nellie Connally - Double,6,,0
55,401,Gov. Connally - Double,7,,0
55,28,Jim Garrison,8,,0
55,402,Lou Ivon,9,,0
56,28,Robin of Locksley,1,,0
56,10,Azeem,2,,0
56,403,Marian,3,,0
56,404,Will Scarlett,4,,0
56,405,Sheriff of Nottingham,5,,0
56,406,Mortianna,6,,0
56,407,Friar Tuck,7,,0
56,408,Lord Locksley,8,,0
56,409,Guy of Gisborne,9,,0
57,410,Captain Hook,1,,0
57,53,Peter Banning,2,,0
57,153,Tinkerbell,3,,0
57,411,Smee,4,,0
57,412,Granny Wendy,5,,0
57,413,Moira Banning,6,,0
57,266,Jack 'Jackie' Banning,7,,0
57,414,Maggie Banning,8,,0
57,415,"Liza, Wendy's Housekeeper",9,,0
58,416,Stephen McCaffrey,1,,0
58,241,Brian McCaffrey,2,,0
58,388,Donald Rimgale,3,,0
58,417,Ronald Bartel,4,,0
58,418,Jennifer Vaitkus,5,,0
58,248,John Adcox,6,,0
58,419,Helen McCaffrey,7,,0
58,420,Tim Krizminski,8,,0
58,421,Marty Swayzak,9,,0
59,174,The Terminator,1,,0
59,422,Sarah Connor,2,,0
59,423,John Connor,3,,0
59,424,T-1000,4,,0
59,425,Dr. Silberman,5,,0
59,426,Miles Dyson,6,,0
59,427,Tarissa Dyson,7,,0
59,428,Enrique Salceda,8,,0
59,429,Tim,9,,0
60,430,Jody,1,,0
60,431,Jude,2,,0
60,432,Fergus,3,,0
60,433,Maguire,4,,0
60,434,Tinker (as Breffini McKenna),5,,0
60,435,Eddie,6,,0
60,436,Tommy (as Birdie Sweeney),7,,0
60,437,Dil,8,,0
60,438,Jane (as Andree Bernard),9,,0
62,439,Bill Munny,1,,0
62,440,Little Bill Daggett,2,,0
62,10,Ned Logan,3,,0
62,441,English Bob,4,,0
62,442,The 'Schofield Kid',5,,0
62,443,W.W. Beauchamp,6,,0
62,444,Strawberry Alice,7,,0
62,445,Delilah Fitzgerald,8,,0
62,446,Quick Mike,9,,0
63,39,Kevin,1,,0
63,73,Harry,2,,0
63,183,Marv,3,,0
63,186,Kate,4,,0
63,184,Peter,5,,0
63,188,Buzz,6,,0
63,447,Megan,7,,0
63,448,Linnie,8,,0
63,449,Jeff,9,,0
64,450,Wayne Campbell,1,,0
64,451,Garth Algar,2,,0
64,452,Benjamin Oliver,3,,0
64,453,Cassandra,4,,0
64,454,Noah Vanderhoff,5,,0
64,455,Stacy,6,,0
64,456,Alan,7,,0
64,457,Neil,8,,0
64,458,Terry,9,,0
65,28,Frank Farmer,1,,0
65,459,Rachel Marron,2,,0
65,460,Sy Spector,3,,0
65,461,Devaney,4,,0
65,462,Herb Farmer,5,,0
65,463,Portman,6,,0
65,464,Nicki,7,,0
65,465,Tony,8,,0
65,466,Henry,9,,0
66,467,Aladdin,1,,0
66,53,Genie,2,,0
66,468,Princess Jasmine,3,,0
66,469,Jafar,4,,0
66,470,Abu,5,,0
66,471,Iago,6,,0
66,472,Sultan,7,,0
66,473,Gazeem,8,,0
66,474,Additional Voices (voice),9,,0
67,475,Sidney Deane,1,,0
67,476,Billy Hoyle,2,,0
67,477,Gloria Clemente,3,,0
67,478,Rhonda Deane,4,,0
67,479,Robert,5,,0
67,480,Junior,6,,0
67,481,George,7,,0
67,482,Walter,8,,0
67,483,Raymond,9,,0
68,484,Deloris,1,,0
68,412,Mother Superior,2,,0
68,485,Mary Patrick,3,,0
68,486,Mary Robert,4,,0
68,487,Mary Lazarus,5,,0
68,488,Vince LaRocca,6,,0
68,489,Eddie Souther,7,,0
68,490,Joey,8,,0
68,491,Willy,9,,0
69,274,Lt. Col. Frank Slade,1,,0
69,308,Charlie Simms,2,,0
69,492,Mr. Trask,3,,0
69,493,Donna,4,,0
69,494,"George Willis, Jr.",5,,0
69,495,W.R. Slade,6,,0
69,496,Randy,7,,0
69,497,Gretchen,8,,0
69,498,Gail,9,,0
70,71,Martin Riggs,1,,0
70,72,Roger Murtaugh,2,,0
70,73,Leo Getz,3,,0
70,499,Lorna Cole,4,,0
70,500,Jack Travis,5,,0
70,79,Captain Murphy,6,,0
70,77,Trish Murtaugh,7,,0
70,78,Rianne Murtaugh,8,,0
70,501,Nick Murtaugh,9,,0
71,502,Casey Ryback,1,,0
71,503,Tackman,2,,0
71,504,Granger,3,,0
71,505,Flicker,4,,0
71,506,Cue Ball,5,,0
71,507,Captain Adams,6,,0
71,508,Commander Krill,7,,0
71,509,Ensign Taylor,8,,0
71,510,Lt. Smart,9,,0
72,253,Marcus,1,,0
72,511,Jacqueline,2,,0
72,512,Angela,3,,0
72,513,Gerard,4,,0
72,514,Tyler,5,,0
72,515,Strangï¿½,6,,0
72,516,Nelson,7,,0
72,517,Lady Eloise,8,,0
72,518,Bony T,9,,0
73,519,Jimmy Dugan,1,,0
73,520,C Dottie Hinson,2,,0
73,521,P Kit Keller,3,,0
73,522,C F Mae Mordabito,4,,0
73,523,3B Doris Murphy,5,,0
73,524,2B Marla Hooch,6,,0
73,525,LF,7,,0
73,526,RF Evelyn Gardner,8,,0
73,527,LF Shirley Baker,9,,0
74,528,Hawkeye (Nathaniel Poe),1,,0
74,529,Cora Munro,2,,0
74,530,Chingachgook,3,,0
74,531,Uncas,4,,0
74,532,Alice Munro,5,,0
74,533,Maj. Duncan Heyward,6,,0
74,534,Magua,7,,0
74,535,Col. Edmund Munro,8,,0
74,536,Gen Montcalm,9,,0
75,537,Dracula,1,,0
75,208,Mina Murray,2,,0
75,538,Professor Abraham Van Helsing,3,,0
75,69,Jonathan Harker,4,,0
75,539,Dr. Jack Seward,5,,0
75,285,Lord Arthur Holmwood,6,,0
75,540,Quincey P. Morris,7,,0
75,541,Lucy Westenra,8,,0
75,542,R.M. Renfield,9,,0
76,19,Lt. Daniel Kaffee,1,,0
76,107,Col. Nathan R. Jessep,2,,0
76,215,Lt. Cdr. JoAnne Galloway,3,,0
76,240,Capt. Jack Ross,4,,0
76,239,2nd. Lt. Jonathan Kendrick,5,,0
76,543,Lt. Sam Weinberg,6,,0
76,544,Pfc. Louden Downey,7,,0
76,421,Lt. Col. Matthew Andrew Markinson,8,,0
76,545,Dr. Stone,9,,0
77,140,Jack Ryan,1,,0
77,546,Cathy Ryan,2,,0
77,320,Kevin O'Donnell,3,,0
77,547,Sean Miller,4,,0
77,548,Sally Ryan,5,,0
77,549,Lord Holmes,6,,0
77,550,Robby,7,,0
77,551,Annette,8,,0
77,552,Marty Cantor,9,,0
78,80,Detective Nick Curran,1,,0
78,291,Catherine Tramell,2,,0
78,553,Gus,3,,0
78,554,Dr. Beth Garner,4,,0
78,555,Lieutenant Walker,5,,0
78,556,Roxy,6,,0
78,557,Andrews,7,,0
78,558,Captain Talcott,8,,0
78,559,Hazel Dobkins,9,,0
79,106,Batman,1,,0
79,82,Penguin,2,,0
79,560,Catwoman,3,,0
79,561,Max Shreck,4,,0
79,112,Alfred,5,,0
79,562,Mayor,6,,0
79,563,Ice Princess,7,,0
79,564,Chip,8,,0
79,110,Commissioner Gordon,9,,0
80,565,Derice Bannock,1,,0
80,566,Sanka Coffie,2,,0
80,567,Junior Bevil,3,,0
80,568,Yul Brenner,4,,0
80,37,Irv,5,,0
80,21,Kurt Hemphill,6,,0
80,569,Josef Grool,7,,0
80,570,Roger,8,,0
80,571,Larry,9,,0
81,115,Phil,1,,0
81,572,Rita,2,,0
81,573,Larry,3,,0
81,193,Ned,4,,0
81,454,Buster,5,,0
81,326,Nancy,6,,0
81,574,Mrs. Lancaster,7,,0
81,575,Gus,8,,0
81,576,Ralph,9,,0
82,577,Jesse,1,,0
82,521,Rae Lindley,2,,0
82,578,Annie Greenwood,3,,0
82,579,Randolph Johnson,4,,0
82,580,Glen Greenwood,5,,0
82,293,Dial,6,,0
82,581,Wade,7,,0
82,582,Dwight Mercer,8,,0
82,583,Perry,9,,0
83,519,Sam Baldwin,1,,0
83,584,Jonah Baldwin,2,,0
83,585,Suzy,3,,0
83,586,Greg,4,,0
83,587,Rob,5,,0
83,588,Maggie Baldwin,6,,0
83,45,Annie Reed,7,,0
83,589,Walter,8,,0
83,590,Barbara Reed,9,,0
84,591,Oskar Schindler,1,,0
84,592,Itzhak Stern,2,,0
84,593,Amon Goeth,3,,0
84,413,Emilie Schindler,4,,0
84,594,Poldek Pfefferberg,5,,0
84,595,Helen Hirsch,6,,0
84,596,Wiktoria Klonowska,7,,0
84,597,Wilek Chilowicz,8,,0
84,598,Marcel Goldberg,9,,0
85,53,Daniel Hillard,1,,0
85,149,Miranda Hillard,2,,0
85,599,Stu,3,,0
85,600,Frank,4,,0
85,601,Gloria,5,,0
85,602,Lydia Hillard,6,,0
85,603,Chris Hillard,7,,0
85,604,Natalie Hillard,8,,0
85,605,Mr. Lundy,9,,0
86,416,Wyatt Earp,1,,0
86,606,Doc Holliday,2,,0
86,607,Virgil Earp,3,,0
86,608,Morgan Earp,4,,0
86,609,Curly Bill Brocius,5,,0
86,610,Johnny Ringo,6,,0
86,611,Henry Hooker,7,,0
86,612,Billy Breckinridge,8,,0
86,613,Behan,9,,0
87,519,Andrew 'Andy' Beckett,1,,0
87,614,Joe Miller,2,,0
87,615,Judge Tate,3,,0
87,616,Crutches' - Courthouse Elevator,4,,0
87,617,Dr. Gillman,5,,0
87,618,Clinic Storyteller,6,,0
87,619,Clinic Patient,7,,0
87,620,Tyrone - Clinic Worker,8,,0
87,621,Kenneth Killcoyne,9,,0
88,622,Dave Kovic,1,,0
88,116,Ellen Mitchell,2,,0
88,623,Bob Alexander,3,,0
88,347,Alan Reed,4,,0
88,624,Duane Stevenson,5,,0
88,592,Vice-President Nance,6,,0
88,625,Murray Blum,7,,0
88,626,Alice,8,,0
88,627,Randi,9,,0
89,628,John Gustafson,1,,0
89,629,Max Goldman,2,,0
89,630,Ariel Truax,3,,0
89,631,Grandpa Gustafson,4,,0
89,152,Melanie,5,,0
89,543,Jacob Goldman,6,,0
89,632,Chuck,7,,0
89,633,Snyder,8,,0
89,634,Mike,9,,0
90,635,John,1,,0
90,215,Diana Murphy,2,,0
90,476,David Murphy,3,,0
90,636,Mr. Shackleford,4,,0
90,242,Jeremy,5,,0
90,637,Day Tripper,6,,0
90,638,Mr. Langford,7,,0
90,639,Auction M.C.,8,,0
90,640,Realtor,9,,0
91,484,Deloris,1,,0
91,485,Sister Mary Patrick,2,,0
91,641,Father Maurice,3,,0
91,487,Sister Mary Lazarus,4,,0
91,642,Mr. Crisp,5,,0
91,643,Father Ignatius,6,,0
91,486,Sister Mary Robert,7,,0
91,644,Florence Watson,8,,0
91,236,Joey Bustamente,9,,0
92,439,Frank Horrigan,1,,0
92,645,Mitch Leary,2,,0
92,499,Lilly Raines,3,,0
92,156,Al D'Andrea,4,,0
92,646,Bill Watts,5,,0
92,287,Harry Sargent,6,,0
92,647,Sam Campagna,7,,0
92,648,Matt Wilder,8,,0
92,649,President,9,,0
93,141,Capt. John Connor,1,,0
93,475,Lt. Webster Smith,2,,0
93,488,Lt. Tom Graham,3,,0
93,650,Eddie Sakamura,4,,0
93,321,Bob Richmond,5,,0
93,651,Yoshida-san,6,,0
93,652,Senator John Morton,7,,0
93,653,Ishihara,8,,0
93,309,Phillips,9,,0
94,19,Mitch McDeere,1,,0
94,554,Abby McDeere,2,,0
94,440,Avery Tolar,3,,0
94,654,Oliver Lambert,4,,0
94,655,Lamar Quinn,5,,0
94,656,William Devasher,6,,0
94,657,Wayne Tarrance,7,,0
94,658,Tammy Hemphill,8,,0
94,659,Ray McDeere,9,,0
95,140,Dr. Richard Kimble,1,,0
95,660,Samuel Gerard,2,,0
95,661,Helen Kimble,3,,0
95,662,Dr. Anne Eastman,4,,0
95,663,Cosmo Renfro,5,,0
95,664,Sykes,6,,0
95,376,Dr. Charles Nichols,7,,0
95,665,Biggs,8,,0
95,666,Poole,9,,0
96,153,Darby Shaw,1,,0
96,614,Gray Grantham,2,,0
96,155,Thomas Callahan,3,,0
96,184,Gavin Vereek,4,,0
96,216,Fletcher Coal,5,,0
96,667,FBI Director Denton Voyles,6,,0
96,298,Bob Gminski,7,,0
96,668,President,8,,0
96,669,Khamel,9,,0
97,670,John Spartan,1,,0
97,475,Simon Phoenix,2,,0
97,671,Lenina Huxley,3,,0
97,672,Dr. Raymond Cocteau,4,,0
97,673,Alfredo Garcia,5,,0
97,674,Chief George Earle,6,,0
97,675,Associate Bob,7,,0
97,676,Edgar Friendly,8,,0
97,677,Zachary Lamb - Young,9,,0
98,670,Gabe Walker,1,,0
98,678,Qualen,2,,0
98,286,Hal Tucker,3,,0
98,679,Jessie Deighan,4,,0
98,680,Travers,5,,0
98,413,Kristel,6,,0
98,565,Kynette,7,,0
98,681,Delmar,8,,0
98,682,Ryan,9,,0
100,683,Pumpkin,1,,0
100,684,Honey Bunny,2,,0
100,685,Waitress,3,,0
100,1,Vincent Vega,4,,0
100,550,Jules Winnfield,5,,0
100,686,Marvin,6,,0
